1,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,2,4,4,6,8,11,18,18,14,20,15,27,27,38,50,61,41,56,81,84,123,126,164,157,201,237,234,247,284,345,350,409,506,483,465,577,588,651,669,697,685,764,730,741,784,820,817,863,808,791,839,810,903,893,958,1029,1040,1029,980,886,828,827,698,647,626,556,485,425,412,346,330,335,270,274,256,267,234,203,200,201,176,185,170,137,172,149,128,125,138,120,126,107,115,124,118,93,90,83,106,82,94,103,80,67,85,70,63,83,56,58,65,71,50,56,61,49,65,47,56,49,36,49,36,40,38,49,34,39,35,29,41,25,34,39,30,32,26,27,26,13,29,19,19,21,21,18,17,23,22,17,16,21,12,11,16,15,13,11,12,16,10,10,15,14,12,15,19,12,8,6,12,9,10,8,13,11,9,15,9,10,5,16,11,11,10,7,6,11,7,11,10,3,5,4,5,2,1,1,5,8
1,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,6,6,9,13,25,22,31,36,33,45,51,56,89,93,115,164,193,260,268,316,379,488,604,668,692,796,797,852,915,934,1063,1125,1169,1197,1221,1234,1290,1335,1368,1382,1233,1229,1170,1034,945,939,777,688,684,524,469,413,365,362,298,316,241,227,220,216,200,198,222,188,174,177,155,172,150,130,147,115,95,126,132,100,96,120,91,102,87,74,77,79,87,85,70,82,70,84,67,53,61,54,61,58,44,40,44,51,44,42,30,29,35,33,39,29,29,20,23,19,19,28,24,25,28,20,19,24,22,16,12,14,13,16,17,13,10,13,14,11,10,9,9,14,16,15,13,19,13,14,12,14,6,7,10,7,12,8,6,5,8,2,4,4,6,5,6,3,7,1,6,5,3,4,0,2,3,3,2,4,4,2,1,1,0,0,1,2,1,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,10,12,16,24,25,51,53,57,93,102,150,233,291,384,442,537,654,793,907,1016,1197,1409,1540,1668,1802,1926,1852,1844,1684,1526,1389,1282,1105,983,848,713,669,570,520,537,437,373,351,325,295,273,247,235,246,212,205,199,168,187,185,172,167,172,170,159,132,127,141,120,107,100,135,97,105,114,122,104,102,95,93,80,87,55,66,64,60,60,49,54,52,39,37,36,37,37,32,34,24,24,20,25,21,17,26,24,20,20,11,16,16,27,14,14,7,15,11,11,15,10,15,11,12,13,12,11,16,12,9,10,10,12,8,16,12,10,7,6,7,8,5,5,7,5,2,6,5,0,4,4,3,4,2,5,9,1,5,0,2,2,2,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,2,12,13,11,11,35,46,45,57,69,57,76,88,76,79,75,75,96,106,117,103,115,113,125,139,163,183,192,232,249,268,318,290,349,389,399,418,454,492,476,494,510,526,580,568,599,615,584,597,631,549,567,634,616,598,557,606,561,591,572,600,572,606,572,580,578,545,628,607,583,633,609,574,613,598,539,553,533,530,451,453,418,429,437,411,420,363,348,332,326,327,299,264,240,229,198,161,155,117,132,113,103,98,104,97,97,72,69,69,76,55,71,47,55,41,47,75,54,48,49,47,54,35,39,29,43,35,37,44,38,39,30,31,26,31,27,29,31,20,30,26,26,25,26,34,29,20,21,22,22,31,23,34,24,20,20,19,20,15,23,17,20,15,19,26,18,21,17,17,24,17,20,20,22,15,16,14,16,14,19,14,19,12,15,27,16,12,21,15,17,68
2,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,4,7,10,8,13,13,11,22,28,44,57,72,106,105,137,134,146,150,154,182,242,252,286,336,345,411,419,488,546,609,682,632,706,756,725,755,796,776,752,803,742,757,761,835,817,788,803,777,763,733,769,729,729,677,719,678,690,725,668,776,772,785,709,682,626,537,579,448,452,373,344,309,278,281,208,184,168,185,136,137,127,106,106,87,101,91,91,86,78,69,62,65,70,57,58,54,42,51,51,48,50,36,48,46,58,35,42,34,34,26,39,38,30,35,34,37,34,39,24,26,33,23,23,31,27,26,25,22,23,21,28,24,31,16,17,17,21,18,13,10,15,14,15,16,21,9,20,14,13,10,18,10,16,17,8,6,10,16,9,2,10,4,4,8,6,6,7,9,4,5,5,2,6,5,7,3,5,2,3,2,1,7,1,1,2,1,2,1,3,0,3,5,1,2,1,1,0,0,0,3,1,1,2,1,0,0,1,2,1,4
2,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,7,10,8,7,23,9,18,28,30,57,84,110,135,180,180,207,232,286,332,354,457,568,628,727,753,749,868,867,931,872,947,1024,985,973,1033,988,932,1012,1037,1051,1072,1022,1074,1034,956,948,881,899,894,864,816,725,720,652,615,551,479,391,321,306,263,231,211,176,143,141,128,119,126,104,98,87,78,80,65,86,77,63,61,64,53,61,64,40,55,52,52,51,41,57,47,45,33,35,24,35,33,43,36,48,27,35,29,36,23,28,33,22,24,29,17,23,16,20,26,23,22,16,18,10,15,22,11,13,11,7,11,7,12,8,15,6,5,3,9,7,13,5,7,4,4,4,1,4,4,2,0,1,3,2,0,5,2,2,2,1,3,6,4,4,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,10,11,21,50,43,51,45,58,75,57,75,72,67,70,57,65,74,79,99,83,102,131,112,131,180,184,157,207,217,238,236,264,248,260,315,305,341,347,327,346,333,363,345,367,385,406,408,456,436,436,459,448,456,494,485,522,497,454,460,439,398,426,457,442,440,471,472,433,456,535,460,473,501,510,537,501,507,469,537,476,472,464,434,451,388,398,386,386,367,343,326,343,351,319,324,339,306,343,326,309,308,292,293,239,278,241,201,230,190,182,200,177,168,155,152,146,130,115,141,110,109,107,100,81,79,81,78,72,75,73,68,56,70,50,76,55,53,55,57,54,50,53,36,55,43,46,39,36,38,45,47,40,36,34,35,35,40,36,38,26,32,24,28,32,31,37,30,31,30,28,30,25,27,27,28,26,35,27,21,27,22,26,20,27,23,16,28,23,28,24,28,43,25,19,24,25,31,55
3,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,6,9,15,53,77,70,88,110,120,111,99,123,131,126,172,193,227,253,265,290,313,354,364,393,402,431,453,500,491,533,557,601,626,627,621,639,611,673,680,607,611,628,609,616,600,661,624,630,669,645,614,608,620,603,640,620,598,587,581,563,546,524,573,543,542,517,458,443,405,433,328,338,378,313,302,312,298,240,262,223,229,228,202,202,191,173,198,154,161,128,139,100,95,101,109,101,91,80,81,78,83,73,89,65,63,75,58,65,60,56,56,57,52,56,54,51,51,49,45,48,34,38,39,29,28,32,38,40,30,26,39,33,32,28,22,29,24,20,27,21,24,22,22,20,15,14,17,20,20,19,16,10,20,14,14,26,12,16,8,14,10,10,6,8,14,10,13,6,9,7,7,8,8,8,9,9,7,10,3,7,4,4,5,6,3,4,4,5,4,4,3,1,4,4,0,0,8,1,2,2,5,4,11,5,5,2,4,4,0,0,4
3,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,6,8,20,29,55,70,123,111,133,184,220,259,303,301,375,426,381,451,484,574,603,638,673,691,757,733,782,801,848,809,802,820,809,829,847,800,809,834,806,807,888,831,857,786,752,708,713,678,668,666,621,575,613,567,504,463,472,411,364,333,336,293,288,236,225,236,201,187,175,219,156,169,152,131,105,112,125,97,118,101,94,87,75,78,86,81,82,83,83,67,57,53,64,44,55,64,51,46,58,52,46,43,40,30,31,29,36,42,38,42,37,21,27,32,30,31,19,19,27,27,23,21,20,14,22,15,19,18,12,13,17,10,15,10,12,18,13,9,10,10,9,8,8,9,2,7,8,2,3,5,4,5,1,3,4,2,5,1,1,5,2,1,4,3,3,3,1,2,2,4,0,0,0,0,3,2,1,0,1,2,2,1,1,2,1,0,3,1,0,0,1,1,1,1,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,18,11,15,10,25,25,24,17,26,25,28,32,41,45,62,43,67,64,57,77,82,103,115,110,144,168,191,221,253,274,355,382,466,495,591,711,729,745,796,887,925,1029,1034,1014,1019,960,916,910,914,909,973,867,894,849,824,884,812,775,724,777,743,740,686,592,603,597,536,520,446,442,421,334,315,314,286,263,238,229,190,185,194,167,139,156,158,146,138,128,126,114,108,91,83,88,85,87,82,75,78,54,60,62,59,60,64,55,55,41,44,35,32,42,44,39,37,35,38,33,25,31,26,31,25,26,24,16,22,16,18,24,20,19,14,17,11,16,8,16,11,14,12,13,11,8,11,9,4,2,7,4,8,7,4,2,1,5,1,9,4,1,1,2,2,4,2,3,1,3,2,2,0,1,1,1,0,2,2,0,0,3,3,2,0,0,1,0,2,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
