1,113.648862995,86.3696165495,71.7307889739
2,100.224196431,76.9181019969,63.0710974125
3,98.016041271,82.1248395873,66.3800369591
4,93.8244917691,71.4966033127,57.6176627738
5,135.306974022,103.659542529,89.9621148513
6,116.884156246,88.0042284388,69.2646641743
7,97.226634008,76.5566842852,57.2163207426
8,104.025974026,77.7963913557,58.8993378163
9,120.664580312,88.443324937,62.1819453986
10,97.7176047036,79.0821311093,61.1824963092
11,94.6676681603,76.8078168303,55.6997850242
12,129.517683897,97.1271495303,81.5084697911
13,75.0551605145,64.7177925337,58.7815016208
14,90.374239167,69.5493537776,55.387992437
15,101.883382751,80.5649091143,60.6364316102
16,101.715204434,77.8086113144,62.8508836139
17,106.673111955,78.788294384,62.6530994639
18,96.8880869269,75.1025957324,54.3142174746
19,91.18731621,73.7018762849,61.1687875712
20,122.483039169,90.5940266073,70.5161657921
21,92.6849957264,73.8845605947,57.8938071434
22,83.3954511151,66.643557915,55.2652301767
23,131.351835064,98.4800953146,81.0828045274
24,96.7205362898,72.2672167075,58.9052468738
25,101.571462482,81.6622972438,58.0265330344
26,113.700709869,87.9626491616,70.9137215989
27,98.8453621477,76.0201735024,62.3010112417
28,84.8927308348,68.454291021,57.4136834338
29,127.348211077,92.5501514296,71.7225758431
30,116.184897563,85.5510141521,67.33960047
31,85.8642010164,67.5677583286,57.0951183204
32,117.436621877,86.4177438308,68.4036427732
33,116.41340102,89.423864902,71.6133543992
34,98.0593912017,75.9014167651,62.5994302141
35,123.7307342,94.1289530942,78.4187876335
36,98.7564557487,80.0245279598,61.6898391567
37,105.06536032,79.2457651154,62.8560010313
38,127.995919101,97.2607925671,79.5724295467
39,113.951384392,82.9176357844,62.2416535005
40,99.0037384623,74.7721084928,57.2802299799
41,92.3151018942,74.0170165803,51.2429803398
42,102.862545002,82.3811546531,63.1542645497
43,110.740009282,82.9616614242,67.5354251534
44,116.262306863,90.0284636312,73.9143267799
45,98.0631078114,77.9304611524,58.2183938095
46,102.264770802,77.2216261999,61.3724398132
47,95.5659561242,78.0551943847,59.9561501204
48,125.77999076,92.387634105,75.1086956522
49,127.395539243,96.0683999795,74.9141984498
50,99.2378978995,76.3661581497,62.4530549872
51,91.2863629206,69.6930607317,59.6467377041
